,damage taken,direction,encounter,month of departure
0,35%,southbound,crabmonsters,1/1396
1,49%,southbound,kraken,1/1396
2,52%,northbound,pirates,1/1396
3,18%,southbound,pirates,1/1396
4,51%,northbound,merpeople,1/1396
5,78%,northbound,kraken,1/1396
6,57%,southbound,pirates,1/1396
7,15%,northbound,harpy,1/1396
8,82%,northbound,water elemental,1/1396
9,25%,northbound,sharks,1/1396
10,18%,southbound,pirates,1/1396
11,16%,southbound,pirates,1/1396
12,14%,southbound,sharks,1/1396
13,28%,northbound,pirates,1/1396
14,100%+,southbound,unknown,1/1396
15,49%,northbound,kraken,1/1396
16,17%,northbound,sharks,1/1396
17,100%+,southbound,unknown,1/1396
18,11%,southbound,merpeople,1/1396
19,21%,northbound,pirates,1/1396
20,28%,northbound,pirates,1/1396
21,65%,southbound,kraken,1/1396
22,76%,southbound,nessie,1/1396
23,19%,southbound,pirates,1/1396
24,100%+,northbound,unknown,1/1396
25,18%,southbound,sharks,1/1396
26,54%,southbound,pirates,1/1396
27,22%,southbound,pirates,1/1396
28,85%,southbound,demon whale,1/1396
29,100%+,southbound,unknown,1/1396
30,16%,northbound,pirates,1/1396
31,12%,northbound,harpy,1/1396
32,57%,northbound,kraken,1/1396
33,32%,northbound,pirates,1/1396
34,65%,northbound,crabmonsters,1/1396
35,97%,southbound,demon whale,1/1396
36,76%,southbound,nessie,1/1396
37,19%,northbound,pirates,1/1396
38,62%,southbound,kraken,1/1396
39,83%,southbound,water elemental,1/1396
40,20%,southbound,pirates,1/1396
41,59%,southbound,kraken,1/1396
42,7%,southbound,harpy,1/1396
43,62%,southbound,kraken,1/1396
44,75%,northbound,nessie,1/1396
45,100%+,southbound,unknown,1/1396
46,37%,southbound,pirates,1/1396
47,28%,southbound,pirates,1/1396
48,12%,northbound,sharks,1/1396
49,81%,northbound,nessie,1/1396
50,56%,northbound,merpeople,1/1396
51,19%,northbound,harpy,1/1396
52,50%,northbound,kraken,1/1396
53,21%,northbound,pirates,1/1396
54,100%+,southbound,unknown,1/1396
55,14%,southbound,harpy,1/1396
56,55%,northbound,merpeople,1/1396
57,100%+,northbound,unknown,1/1396
58,22%,southbound,sharks,1/1396
59,44%,southbound,merpeople,1/1396
60,15%,southbound,sharks,1/1396
61,25%,northbound,pirates,1/1396
62,37%,northbound,sharks,1/1396
63,9%,northbound,harpy,1/1396
64,100%+,northbound,unknown,1/1396
65,15%,northbound,merpeople,1/1396
66,100%+,southbound,unknown,1/1396
67,1%,northbound,crabmonsters,1/1396
68,25%,northbound,pirates,1/1396
69,38%,northbound,pirates,1/1396
70,34%,northbound,merpeople,1/1396
71,17%,northbound,pirates,1/1396
72,78%,northbound,water elemental,1/1396
73,81%,northbound,nessie,1/1396
74,21%,southbound,sharks,1/1396
75,9%,southbound,harpy,1/1396
76,27%,southbound,sharks,1/1396
77,50%,northbound,merpeople,1/1396
78,100%+,northbound,unknown,1/1396
79,32%,southbound,sharks,1/1396
80,66%,northbound,crabmonsters,1/1396
81,85%,southbound,water elemental,1/1396
82,100%+,southbound,unknown,1/1396
83,22%,northbound,sharks,1/1396
84,52%,southbound,kraken,1/1396
85,64%,southbound,kraken,1/1396
86,13%,southbound,harpy,1/1396
87,44%,southbound,pirates,1/1396
88,18%,northbound,harpy,1/1396
89,41%,southbound,pirates,1/1396
90,39%,southbound,pirates,1/1396
91,96%,southbound,nessie,1/1396
92,27%,northbound,sharks,1/1396
93,31%,southbound,merpeople,1/1396
94,68%,northbound,nessie,1/1396
95,45%,southbound,sharks,1/1396
96,20%,southbound,pirates,1/1396
97,14%,southbound,pirates,1/1396
98,83%,southbound,nessie,1/1396
99,100%+,southbound,unknown,1/1396
100,67%,southbound,merpeople,1/1396
101,22%,southbound,sharks,1/1396
102,100%+,northbound,unknown,1/1396
103,28%,southbound,sharks,1/1396
104,57%,northbound,kraken,1/1396
105,84%,northbound,crabmonsters,1/1396
106,25%,southbound,pirates,1/1396
107,100%+,southbound,unknown,1/1396
108,18%,southbound,pirates,1/1396
109,84%,southbound,water elemental,1/1396
110,13%,southbound,pirates,1/1396
111,37%,northbound,sharks,1/1396
112,51%,northbound,kraken,1/1396
113,22%,northbound,sharks,1/1396
114,29%,northbound,sharks,1/1396
115,83%,southbound,water elemental,1/1396
116,51%,southbound,kraken,1/1396
117,53%,northbound,kraken,1/1396
118,100%+,northbound,unknown,1/1396
119,19%,northbound,pirates,1/1396
120,12%,southbound,harpy,1/1396
121,56%,northbound,kraken,1/1396
122,36%,southbound,pirates,1/1396
123,12%,southbound,crabmonsters,1/1396
124,31%,southbound,sharks,1/1396
125,23%,northbound,sharks,1/1396
126,65%,northbound,kraken,1/1396
127,26%,southbound,crabmonsters,1/1396
128,58%,southbound,merpeople,1/1396
129,81%,northbound,crabmonsters,1/1396
130,39%,northbound,pirates,1/1396
131,55%,northbound,kraken,1/1396
132,18%,northbound,pirates,1/1396
